x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
-0.320123,1.087714,5.739,5.932,314.71042601664635,1.9115190652734384,0.7026260692094723
0.168262,6.062191,5.735,5.929,314.8532177447882,2.233285869219202,4.922744361517175
0.656139,11.036647,5.731,5.926,315.08960530745054,2.705236796892109,11.075632929335185
1.143549,16.011082,5.727,5.923,315.27972118004345,3.0186158936478478,15.128163662562656
1.630535,20.985493,5.723,5.92,315.56450192879487,3.496588993666961,21.16196066227741
2.117138,25.959881,5.719,5.917,315.7542327316071,3.817711858908467,25.170407063504967
2.603399,30.934243,5.715,5.914,316.0774842310671,4.300452093087159,31.176369532416032
3.089362,35.908579,5.711,5.911,321.7456093934693,4.717993807587703,35.55023871439636
3.575067,40.882887,5.707,5.908,321.9478369347663,5.1471722707878484,40.58441827388431
4.060557,45.857166,5.703,5.905,322.15006447606333,5.576350733988022,45.61859783337225
4.545874,50.831416,5.7,5.902,322.3522920173604,6.005529197188167,50.652777392860195
5.031058,55.805635,5.696,5.899,322.5545195586574,6.434707660388312,55.68695695234814
5.516153,60.779822,5.692,5.896,322.7567470999544,6.863886123588429,60.721136511836086
6.0012,65.753975,5.688,5.893,322.9589327140599,7.286459407298537,65.67424381513057
6.486241,70.728094,5.684,5.89,324.4782227641657,7.713446652881657,70.44368009489972
6.971318,75.702177,5.68,5.887,326.0370793101103,8.130551222015498,75.08613901273904
7.456472,80.676224,5.676,5.884,326.52771066616924,8.629531490543172,80.65963714718544
7.941746,85.650233,5.672,5.881,326.7722774536157,8.981175898182926,84.6376145086104
8.427182,90.624202,5.668,5.878,327.1391276347854,9.508642509642584,90.60458055074784
8.912821,95.598132,5.664,5.875,327.3836944222318,9.860286917282366,94.5825579121728
9.398704,100.57202,5.66,5.872,327.7499936857047,10.389243914937907,100.51595002838485
9.884875,105.545865,5.656,5.869,328.14085795884364,10.922807230968345,106.42004504936567
10.371375,110.519667,5.652,5.866,328.43809632451604,11.281914300141864,110.3870563858749
10.858245,115.493424,5.648,5.863,328.8839538730246,11.820574903902099,116.33757339063872
11.345529,120.467135,5.644,5.86,329.1806743961789,12.218921550715635,120.87347444498356
11.833266,125.440799,5.64,5.858,329.4769814977784,12.648595264406623,125.86355078123432
12.3215,130.414414,5.636,5.855,329.773288599378,13.078268978097555,130.8536271174851
12.810272,135.387981,5.632,5.852,330.0695957009775,13.507942691788543,135.84370345373586
13.299624,140.361496,5.628,5.849,330.365902802577,13.937616405479531,140.83377978998664
13.789598,145.33496,5.624,5.846,330.66220990417656,14.367290119170491,145.8238561262374
14.280236,150.308371,5.62,5.843,330.95851700577606,14.79696383286148,150.81393246248817
14.77158,155.281728,5.616,5.84,331.0,15.183296844987467,155.3580074775896
15.263671,160.255029,5.612,5.837,331.0,15.526574156182932,159.41772989160344
15.756551,165.228275,5.608,5.834,331.0,16.021918390827878,165.28346453682138
16.250263,170.201463,5.604,5.831,331.325731981982,16.43651922498924,170.13570107186482
16.744848,175.174592,5.6,5.828,331.7311373873874,16.831370376923473,174.74003789629512
